lat,lon,amenity,leisure,shop
57.7133535,11.9398379,bench,,
57.7132256,11.9398555,waste_basket,,
57.7177914,11.9308295,waste_basket,,
57.7178028,11.9308437,bench,,
57.7180405,11.9311204,bench,,
57.7183647,11.9317508,waste_basket,,
57.7183761,11.931765,bench,,
57.7187793,11.932616,bench,,
57.7187859,11.9326312,waste_basket,,
57.7204227,11.938219,recycling,,
57.7038774,11.9635515,bar,,
57.7140413,11.9425734,bench,,
57.7140289,11.9424492,bench,,
57.7156648,11.9406032,waste_basket,,
57.7156812,11.9412372,bench,,
57.7155887,11.9406076,bench,,
57.7154685,11.9422191,bench,,
57.7164423,11.9438052,waste_basket,,
57.7160184,11.9436518,waste_basket,,
57.7159839,11.9436449,bench,,
57.7167508,11.9440671,,playground,
57.7155597,11.942359,bench,,
57.7150896,11.9414656,bench,,
57.7149697,11.9409664,bench,,
57.7149486,11.9410437,waste_basket,,
57.7201154,11.944246,recycling,,
57.7344405,11.9412859,recycling,,
57.7490455,11.9341195,recycling,,
57.7406075,12.0622212,post_box,,
57.7061087,11.9717198,parking,,
57.7098693,11.9674301,parking_entrance,,
57.709282,11.9682145,parking_entrance,,
57.7101474,11.9688929,parking_entrance,,
57.6854233,11.9190811,,,convenience
57.7077782,12.0215603,,playground,
57.7082777,11.9675743,atm,,
57.7207987,11.9166611,fast_food,,
57.7200357,11.9265209,restaurant,,
57.7196398,11.9261634,post_box,,
57.7188139,11.9196453,fuel,,convenience
57.7198248,11.9266279,,,convenience
57.7302291,11.9186105,,,convenience
57.7302675,11.9190963,,,bakery
57.729241,11.9273491,,,convenience
57.7092142,11.9664218,restaurant,,
57.7092098,11.9650047,restaurant,,
57.7095808,11.9668704,cafe,,
57.7096994,11.9653534,restaurant,,
57.7096371,11.9645998,restaurant,,
57.7096001,11.9640223,restaurant,,
57.7106919,11.9632601,theatre,,
57.7109165,11.963037,restaurant,,
57.7551502,11.9613426,post_box,,
57.7552249,11.962114,recycling,,
57.703154,11.9694418,ferry_terminal,,
57.6189024,11.9265113,recycling,,
57.8057869,11.9746071,recycling,,
57.7943694,11.9900333,,,supermarket
57.6940575,11.9570034,restaurant,,
57.6931328,11.9590691,,,supermarket
57.6940997,11.9569702,post_box,,
57.6932055,11.9590677,post_box,,
57.6983954,11.9628107,recycling,,
57.7852127,12.0013692,fuel,,
57.7768785,12.0624516,recycling,,
57.6858686,11.9441982,cafe,,
57.6833219,11.9469969,restaurant,,
57.6873072,11.9423693,cafe,,
57.6888776,11.9516126,cafe,,
57.6701476,11.9288803,clinic,,
57.6902158,11.982264,fast_food,,
57.6874351,11.9857571,post_box,,
57.5748571,11.7758863,,marina,
57.6799564,11.9311492,recycling,,
57.6957038,11.9423323,post_box,,
57.6964655,11.9506304,cinema,,
57.709112,11.937264,fast_food,,
57.6966366,11.950582,restaurant,,
57.6929046,11.9522201,cafe,,
57.6925382,11.9512762,,,convenience
57.6905821,12.0054364,fast_food,,
57.7065896,11.979259,fast_food,,
57.6924921,11.9560732,cafe,,
57.5570398,11.7772903,toilets,,
57.6930686,11.9709267,restaurant,,
57.6926229,11.9711683,school,,
57.7388329,11.8988584,parking_entrance,,
57.7394253,11.8989088,parking_entrance,,
57.7391326,11.8987848,parking_entrance,,
57.6353009,11.7667895,ferry_terminal,,
57.7377907,11.8975167,recycling,,
57.7551604,11.9275812,,,supermarket
57.7536249,11.9278585,recycling,,
57.7550024,11.9271515,pub,,
57.75556,11.9271593,pharmacy,,
57.754203,11.9273746,kindergarten,,
57.7547831,11.927146,atm,,
57.696278,11.9202771,parking_entrance,,
57.7335032,11.8935431,,,supermarket
57.7332648,11.893278,fast_food,,
57.7332556,11.8933676,,,kiosk
57.7333425,11.8928739,cafe,,
57.73321,11.893396,atm,,
57.7333434,11.8922634,parking_entrance,,
57.7345021,11.8949854,parking_entrance,,
57.7336026,11.8940379,recycling,,
57.7381477,11.8964128,bbq,,
57.6487367,11.7845915,recycling,,
57.6407924,11.7776662,restaurant,,
57.7338468,11.8994594,parking_entrance,,
57.7338203,11.8996464,parking_entrance,,
57.6479932,11.7841528,bicycle_rental,,
57.6431309,11.7789427,post_box,,
57.6421495,11.7801599,,playground,
57.6922566,11.9156568,fuel,,
57.6808035,11.9761464,parking_entrance,,
57.6928416,11.9522201,fast_food,,
57.7353355,11.8882682,parking_entrance,,
57.7352115,11.8877937,parking_entrance,,
57.7343414,11.8877294,parking_entrance,,
57.7304043,11.893451,parking_entrance,,
57.7288016,11.9258546,post_box,,
57.7290818,11.9271606,post_box,,
57.7199085,11.9265866,fast_food,,
57.7479692,11.9915134,fuel,,
57.7477427,11.99266,fuel,,
57.700202,11.7837882,,marina,
57.6928197,11.7681388,,marina,
57.7137891,12.0065005,,,convenience
57.7133557,12.0071607,cafe,,
57.7131836,12.0139259,restaurant,,
57.7140859,11.9965265,,,alcohol
57.7142051,11.9970683,,,fishing
57.7137222,11.9966929,restaurant,,
57.7133569,11.9974202,restaurant,,
57.7146506,12.0045304,,,florist
57.7149788,12.0043897,restaurant,,
57.7233512,12.0265372,,,alcohol
57.6997884,11.7364039,,marina,
57.6406594,11.9460152,,,computer
57.6412053,11.9473354,,,sports
57.7055712,11.9633005,cafe,,
57.7068126,11.9372572,cafe,,
57.7079793,11.9344352,fast_food,,
57.6927109,11.9479,recycling,,
57.6934079,11.9473805,,,supermarket
57.6402134,11.9528265,pharmacy,,
57.706602,11.9760631,cafe,,
57.7069473,11.9759519,toilets,,
57.7044491,11.9757305,restaurant,,
57.7623313,12.0412454,,,convenience
57.7619935,12.0414323,,,convenience
57.7994846,12.0716042,recycling,,
57.8036121,12.0698581,recycling,,
57.7033214,11.9625563,restaurant,,
57.8089105,12.0703872,waste_basket,,
57.8008313,12.0745627,post_box,,
